,Source language,Translation 1
330,"¬ ∃ x SameSize ( x , x ) ∧ ( ¬ Adjoins ( a , a ) → SameRow ( b , a ) )","all these hold : \n\t• it is not the case that there is an element x such that x is of the same size as itself \n\t• if a is not adjacent to a , then b is in the same row as a"
331,"( ∀ x Small ( a ) ∨ ∃ y Smaller ( y , b ) ) ∧ ∀ z ( Even ( c ) ∨ Medium ( z ) )","all these hold : \n\t• for all x , a is small or there is an element y such that y is smaller than b \n\t• for all z , c is even or z is medium"
332,"∀ x ( ( Large ( a ) ∧ RightOf ( a , b ) ) ∨ ( Person ( x ) ∧ SameRow ( x , x ) ) )","for all x , at least one of these holds : \n\t• a is large and to the right of b \n\t• x is a person and x is in the same row as itself"
333,"( ∀ x Pet ( a ) ∨ ∃ y SameSize ( a , b ) ) ∧ ∃ x ( Prime ( c ) ∧ RightOf ( c , b ) )","all these hold : \n\t• for all x , a is a pet or there is an element y such that a is of the same size as b \n\t• there is an element x such that c is a prime and c is to the right of b"
334,"¬ ∀ x ( Larger ( a , x ) → SameCol ( x , a ) )","it is not the case that for all x , if a is larger than x , then x is in the same column as a"
335,"BackOf ( a , b ) → Tet ( b )","if a is in back of b , then b is a tetrahedron"
336,"SameCol ( a , a ) → ( ¬ Cube ( b ) ∧ ( Medium ( c ) ∧ Small ( a ) ) )","if a is in the same column as itself , then b is not a cube , c is medium and a is small"
337,"∀ x SameShape ( a , b )","for all x , a is of the same shape as b"
338,"( ∃ x Cube ( x ) ∨ ( Cube ( a ) ∨ Pet ( a ) ) ) ∧ ( ∀ y SameSize ( y , y ) → ∀ z Larger ( z , a ) )","all these hold : \n\t• there is an element x such that x is a cube , a is a cube or a is a pet \n\t• if for all y , y is of the same size as itself , then for all z , z is larger than a"
339,"∀ x ( ( BackOf ( a , b ) ∧ Small ( a ) ) ∧ ∀ x Small ( b ) )","for all x , a is in back of b , a is small and for all x , b is small"
340,¬ ¬ Even ( a ) ∧ Cube ( a ),it is not the case that a is not even and a is a cube
341,"( Large ( a ) → ∀ x SameSize ( x , x ) ) → ∀ x ( Adjoins ( a , x ) ∨ SameRow ( x , a ) )","if if a is large , then for all x , x is of the same size as itself , then for all x , a is adjacent to x or x is in the same row as a"
342,"∃ x ( ( Pet ( x ) → Smaller ( a , a ) ) ∨ ¬ Medium ( b ) )","there is an element x such that at least one of these holds : \n\t• if x is a pet , then a is smaller than itself \n\t• b is not medium"
343,¬ ( Even ( a ) ∨ Large ( b ) ) ∧ ∀ x ∀ y Large ( a ),"it is not the case that a is even or b is large and for all x , for all y , a is large"
344,∃ x ∃ x ¬ Person ( a ),there is an element x such that there is an element x such that a is not a person
345,"∃ x ( ( Tet ( x ) ∧ Small ( a ) ) ∧ ∃ y LeftOf ( a , b ) )","there is an element x such that x is a tetrahedron , a is small and there is an element y such that a is to the left of b"
346,"Prime ( a ) → ¬ SameShape ( a , a )","if a is a prime , then a is not of the same shape as a"
347,∀ x ( Small ( a ) ∨ Tet ( x ) ),"for all x , a is small or x is a tetrahedron"
348,"∃ x SameCol ( x , x )",there is an element x such that x is in the same column as itself
349,¬ ∃ x ∃ y Student ( x ),it is not the case that there is an element x such that there is an element y such that x is a student
350,"∀ x ( Medium ( x ) ∧ BackOf ( x , a ) ) → ∃ x ( SameSize ( x , a ) ∨ Person ( x ) )","if for all x , x is medium and in back of a , then there is an element x such that x is of the same size as a or x is a person"
351,∀ x ( ∀ x Medium ( a ) → ¬ Cube ( x ) ),"for all x , if for all x , a is medium , then x is not a cube"
352,"( ∀ x Small ( x ) ∧ SameShape ( a , a ) ) → ¬ ¬ SameSize ( b , b )","if for all x , x is small and a is of the same shape as itself , then it is not the case that b is not of the same size as b"
353,"∀ x ( ( Larger ( a , x ) ∨ SameCol ( x , x ) ) ∧ ∀ y FrontOf ( y , x ) )","for all x , all these hold : \n\t• a is larger than x or x is in the same column as itself \n\t• for all y , y is in front of x"
354,"( ∃ x SameSize ( a , x ) → ∃ x Small ( a ) ) ∧ ∀ y ( Smaller ( a , y ) ∨ SameSize ( a , y ) )","all these hold : \n\t• if there is an element x such that a is of the same size as x , then there is an element x such that a is small \n\t• for all y , a is smaller than y or of the same size as y"
355,"∀ x ∃ x ( BackOf ( x , x ) ∧ RightOf ( a , b ) )","for all x , there is an element x such that x is in back of itself and a is to the right of b"
356,∀ x ∃ y ( Medium ( a ) → Large ( y ) ),"for all x , there is an element y such that if a is medium , then y is large"
357,Prime ( a ) ∧ ¬ ∀ x Person ( a ),"a is a prime and it is not the case that for all x , a is a person"
358,∃ x ∀ y ( Cube ( y ) → Large ( y ) ),there is an element x such that every cube is large
359,"( ( Large ( a ) ∨ Small ( a ) ) → ¬ SameSize ( b , a ) ) ∧ Small ( b )","all these hold : \n\t• if a is large or small , then b is not of the same size as a \n\t• b is small"
360,∀ x ( Even ( x ) → ( Pet ( a ) ∧ Cube ( b ) ) ),"for all x , if x is even , then a is a pet and b is a cube"
361,"¬ ( ∃ x LeftOf ( x , a ) ∧ ∀ y Even ( y ) )","it is not the case that there is an element x such that x is to the left of a and for all y , y is even"
362,"( SameShape ( a , b ) → ( Tet ( a ) ∧ Dodec ( c ) ) ) ∧ ∀ x ∃ y Large ( y )","all these hold : \n\t• if a is of the same shape as b , then a is a tetrahedron and c is a dodecahedron \n\t• for all x , there is an element y such that y is large"
363,∀ x ¬ ∃ y Prime ( a ),"for all x , it is not the case that there is an element y such that a is a prime"
364,∃ x ( ∀ y Cube ( a ) → ∃ z Student ( a ) ),"there is an element x such that if for all y , a is a cube , then there is an element z such that a is a student"
365,"BackOf ( a , b ) ∧ ( ∀ x Larger ( c , x ) ∧ ( BackOf ( c , b ) ∧ Prime ( a ) ) )","a is in back of b , for all x , c is larger than x , c is in back of b and a is a prime"
366,"∃ x RightOf ( x , x )",there is an element x such that x is to the right of itself
367,"Student ( a ) ∧ ( ( BackOf ( b , b ) ∨ SameCol ( a , c ) ) ∧ ( Large ( b ) → Adjoins ( d , d ) ) )","all these hold : \n\t• a is a student , b is in back of itself or a is in the same column as c \n\t• if b is large , then d is adjacent to itself"
368,"∀ x ( ( Large ( a ) ∧ BackOf ( x , b ) ) ∨ ( Person ( x ) ∨ Student ( x ) ) )","for all x , at least one of these holds : \n\t• a is large and x is in back of b , x is a person \n\t• x is a student"
369,"∀ x LeftOf ( x , a )","for all x , x is to the left of a"
370,"∀ x ∀ x Large ( x ) ∨ FrontOf ( a , a )","for all x , for all x , x is large or a is in front of itself"
371,"∃ x ( Small ( x ) ∧ Even ( a ) ) ∧ ( ¬ Even ( a ) → ( LeftOf ( a , a ) → Cube ( b ) ) )","all these hold : \n\t• there is an element x such that x is small and a is even \n\t• if a is not even , then if a is to the left of itself , then b is a cube"
372,"∃ x ( Tet ( a ) → LeftOf ( b , b ) )","there is an element x such that if a is a tetrahedron , then b is to the left of itself"
373,( Student ( a ) → ¬ Medium ( a ) ) → ( ∃ x Person ( x ) ∨ ∃ x Pet ( a ) ),"if if a is a student , then a is not medium , then there is an element x such that x is a person or there is an element x such that a is a pet"
374,"RightOf ( a , a ) ∧ ( ( Large ( b ) ∧ SameRow ( a , c ) ) ∨ ¬ FrontOf ( d , d ) )",a is to the right of itself and at least one of these holds : \n\t• b is large and a is in the same row as c \n\t• d is not in front of d
375,"SameRow ( a , b ) ∧ ( ( LeftOf ( b , b ) → FrontOf ( b , b ) ) ∨ ( Tet ( c ) ∨ Adjoins ( a , c ) ) )","a is in the same row as b and at least one of these holds : \n\t• if b is to the left of itself , then b is in front of itself , c is a tetrahedron \n\t• a is adjacent to c"
376,"∀ x ( Small ( a ) ∧ Adjoins ( a , x ) ) → ( Small ( a ) ∧ ( Smaller ( a , a ) → Small ( b ) ) )","if for all x , a is small and adjacent to x , then all these hold : \n\t• a is small \n\t• if a is smaller than itself , then b is small"
377,∀ x ( Dodec ( a ) ∧ Even ( x ) ) ∨ ( Medium ( a ) ∨ ( Large ( b ) ∨ Pet ( b ) ) ),"for all x , a is a dodecahedron and x is even , a is medium , b is large or b is a pet"
378,"∀ x ∀ y SameSize ( y , x ) ∧ ∃ x ( Medium ( a ) ∨ Even ( x ) )","for all x , for all y , y is of the same size as x and there is an element x such that a is medium or x is even"
379,"( ( Small ( a ) → Large ( b ) ) ∨ ( Tet ( c ) → BackOf ( c , c ) ) ) ∧ LeftOf ( a , b )","at least one of these holds : \n\t• if a is small , then b is large \n\t• if c is a tetrahedron , then c is in back of itself and a is to the left of b"
380,"∀ x ¬ SameRow ( x , x )","for all x , x is not in the same row as x"
381,¬ Large ( a ) → ( Student ( a ) → ∀ x Tet ( x ) ),"if a is not large , then if a is a student , then for all x , x is a tetrahedron"
382,"∃ x ( ( FrontOf ( a , b ) ∨ Medium ( b ) ) → ¬ Medium ( b ) )","there is an element x such that if a is in front of b or b is medium , then b is not medium"
383,"∃ x ( Small ( a ) ∨ SameCol ( a , a ) )",there is an element x such that a is small or a is in the same column as itself
384,∀ x ∀ x Student ( a ),"for all x , for all x , a is a student"
385,"( LeftOf ( a , a ) ∧ ( Pet ( a ) → SameCol ( b , c ) ) ) ∨ Student ( b )","all these hold : \n\t• a is to the left of itself \n\t• if a is a pet , then b is in the same column as c or b is a student"
386,¬ ( Small ( a ) → Medium ( b ) ) ∧ ( ∀ x Small ( x ) ∧ ¬ Tet ( b ) ),"it is not the case that if a is small , then b is medium , for all x , x is small and b is not a tetrahedron"
387,"∀ x ∃ x LeftOf ( a , a )","for all x , there is an element x such that a is to the left of itself"
388,"¬ ( Large ( a ) → ( SameRow ( a , a ) ∨ Medium ( a ) ) )","it is not the case that if a is large , then a is in the same row as itself or a is medium"
389,"¬ ( ¬ Pet ( a ) ∨ ( Larger ( b , c ) ∨ RightOf ( a , c ) ) )","it is not the case that a is not a pet , b is larger than c or a is to the right of c"
390,∀ x ( ∃ x Small ( a ) ∨ ( Even ( x ) ∧ Medium ( b ) ) ),"for all x , at least one of these holds : \n\t• there is an element x such that a is small \n\t• x is even and b is medium"
391,"∃ x ( ¬ Pet ( x ) ∧ ( Adjoins ( a , x ) → Cube ( a ) ) )","there is an element x such that all these hold : \n\t• x is not a pet \n\t• if a is adjacent to x , then a is a cube"
392,∀ x ∃ x ∃ y Medium ( a ),"for all x , there is an element x such that there is an element y such that a is medium"
393,"¬ ( Large ( a ) → Prime ( a ) ) ∨ ∀ x RightOf ( b , c )","it is not the case that if a is large , then a is a prime or for all x , b is to the right of c"
394,∀ x ( ∀ x Large ( a ) ∧ ∀ y Small ( a ) ),"for all x , for all x , a is large and for all y , a is small"
395,¬ ( ( Medium ( a ) ∨ Tet ( a ) ) → ∀ x Dodec ( b ) ),"it is not the case that if a is medium or a is a tetrahedron , then for all x , b is a dodecahedron"
396,"∃ x ∃ y ¬ Smaller ( x , a )",there is an element x such that there is an element y such that x is not smaller than a
397,"∃ x ( ( Student ( a ) ∧ SameCol ( a , x ) ) → Dodec ( x ) )","there is an element x such that if a is a student and a is in the same column as x , then x is a dodecahedron"
398,"( ( SameCol ( a , a ) ∧ Medium ( b ) ) ∧ ∃ x Medium ( x ) ) → ( ∃ y Large ( b ) → ∀ z Pet ( c ) )","if a is in the same column as itself , b is medium and there is an element x such that x is medium , then if there is an element y such that b is large , then for all z , c is a pet"
399,∀ x ( Student ( a ) ∧ Prime ( x ) ) ∨ ∃ x ( Dodec ( x ) → Tet ( x ) ),"for all x , a is a student and x is a prime or there is an element x such that if x is a dodecahedron , then x is a tetrahedron"
400,"( ∀ x Even ( a ) ∧ ∀ x Smaller ( a , b ) ) → ( ( Person ( c ) → Small ( b ) ) ∧ ∀ y Small ( d ) )","if for all x , a is even and for all x , a is smaller than b , then all these hold : \n\t• if c is a person , then b is small \n\t• for all y , d is small"
401,"∃ x ∃ x BackOf ( x , a ) ∧ ( ¬ Medium ( b ) ∧ ( Dodec ( c ) ∨ Cube ( c ) ) )","all these hold : \n\t• there is an element x such that there is an element x such that x is in back of a , b is not medium \n\t• c is a dodecahedron or c is a cube"
402,"∀ x ∃ y ¬ SameSize ( a , y )","for all x , there is an element y such that a is not of the same size as y"
403,"∀ x ¬ ∀ y SameRow ( x , a )","for all x , it is not the case that for all y , x is in the same row as a"
404,"¬ ∃ x SameSize ( x , a ) ∨ ∃ x ( Prime ( x ) → Even ( b ) )","it is not the case that there is an element x such that x is of the same size as a or there is an element x such that if x is a prime , then b is even"
405,Small ( a ) ∨ Tet ( b ),a is small or b is a tetrahedron
406,"∀ x ( ∀ x Dodec ( a ) ∨ ∃ x SameShape ( x , x ) )","for all x , for all x , a is a dodecahedron or there is an element x such that x is of the same shape as itself"
407,"( ( SameCol ( a , b ) ∨ SameSize ( b , a ) ) ∨ ¬ Smaller ( c , b ) ) ∨ ¬ ∀ x Larger ( a , x )","a is in the same column as b , b is of the same size as a , c is not smaller than b or it is not the case that for all x , a is larger than x"
408,¬ ∃ x ∃ y Prime ( x ),it is not the case that there is an element x such that there is an element y such that x is a prime
409,¬ ( ∀ x Pet ( x ) → ( Dodec ( a ) ∨ Large ( b ) ) ),"it is not the case that if for all x , x is a pet , then a is a dodecahedron or b is large"
410,"¬ ¬ ¬ BackOf ( a , a )",it is not the case that it is not the case that a is not in back of a
411,"∀ x ( ( Person ( x ) ∨ Smaller ( a , x ) ) ∧ ∀ y Student ( b ) )","for all x , all these hold : \n\t• x is a person or a is smaller than x \n\t• for all y , b is a student"
412,∃ x ( ¬ Tet ( x ) ∧ ∃ x Large ( a ) ),there is an element x such that x is not a tetrahedron and there is an element x such that a is large
413,"¬ ( ¬ Dodec ( a ) ∧ ( Smaller ( a , b ) ∨ Tet ( a ) ) )",it is not the case that all these hold : \n\t• a is not a dodecahedron \n\t• a is smaller than b or a is a tetrahedron
414,"SameCol ( a , a ) → ( ( Tet ( b ) ∨ SameSize ( a , a ) ) ∨ ( LeftOf ( b , a ) → Even ( a ) ) )","if a is in the same column as itself , then at least one of these holds : \n\t• b is a tetrahedron , a is of the same size as itself \n\t• if b is to the left of a , then a is even"
415,¬ ( Prime ( a ) ∨ ∃ x Pet ( x ) ),it is not the case that a is a prime or there is an element x such that x is a pet
416,"¬ ( Student ( a ) → SameCol ( a , b ) )","it is not the case that if a is a student , then a is in the same column as b"
417,¬ ( Pet ( a ) → Dodec ( b ) ) → ∀ x ∀ y Cube ( c ),"if it is not the case that if a is a pet , then b is a dodecahedron , then for all x , for all y , c is a cube"
418,( ∃ x Medium ( a ) ∧ ( Person ( a ) ∨ Medium ( a ) ) ) → ∃ x ¬ Prime ( x ),"if all these hold : \n\t• there is an element x such that a is medium \n\t• a is a person or a is medium , then there is an element x such that x is not a prime"
419,¬ ( ( Even ( a ) ∨ Person ( a ) ) ∨ ∀ x Dodec ( b ) ),"it is not the case that a is even , a is a person or for all x , b is a dodecahedron"
420,"Larger ( a , b ) ∧ ∃ x ∃ x Tet ( x )",a is larger than b and there is an element x such that there is an element x such that x is a tetrahedron
421,¬ ∃ x ∀ y Prime ( x ),"it is not the case that there is an element x such that for all y , x is a prime"
422,"¬ ∃ x Small ( x ) ∨ ∃ y ( SameSize ( a , y ) ∨ Adjoins ( y , a ) )",it is not the case that there is an element x such that x is small or there is an element y such that a is of the same size as y or y is adjacent to a
423,¬ ( ( Student ( a ) ∧ Cube ( a ) ) → ¬ Person ( b ) ),"it is not the case that if a is a student and a is a cube , then b is not a person"
424,Large ( a ) → Large ( a ),"if a is large , then a is large"
425,¬ ( Large ( a ) ∧ Large ( a ) ) ∧ ¬ ( Prime ( a ) ∧ Cube ( b ) ),it is not the case that a is large and large and it is not the case that a is a prime and b is a cube
426,∃ x ( Person ( a ) → ¬ Large ( a ) ),"there is an element x such that if a is a person , then a is not large"
427,"∃ x ( ( Tet ( a ) → BackOf ( a , x ) ) ∧ ( Person ( a ) ∨ LeftOf ( x , b ) ) )","there is an element x such that all these hold : \n\t• if a is a tetrahedron , then a is in back of x \n\t• a is a person or x is to the left of b"
428,"( ( Dodec ( a ) ∧ Pet ( b ) ) ∨ Prime ( a ) ) ∨ ∀ x ( Medium ( b ) ∧ Smaller ( c , x ) )","at least one of these holds : \n\t• a is a dodecahedron and b is a pet , a is a prime \n\t• for all x , b is medium and c is smaller than x"
429,( Person ( a ) ∧ Large ( a ) ) → ( ( Even ( a ) ∨ Even ( a ) ) → ∃ x Person ( b ) ),"if a is a person and a is large , then if a is even or even , then there is an element x such that b is a person"
430,Student ( a ) ∨ ∀ x ∀ y Large ( y ),"a is a student or for all x , for all y , y is large"
431,"∀ x ( SameShape ( x , a ) ∨ Small ( x ) ) → ( ¬ Dodec ( a ) ∨ ( Pet ( a ) ∨ Tet ( a ) ) )","if for all x , x is of the same shape as a or small , then a is not a dodecahedron , a is a pet or a is a tetrahedron"
432,( ( Large ( a ) ∧ Person ( a ) ) ∨ ( Medium ( b ) ∧ Small ( a ) ) ) → ∃ x ¬ Person ( a ),"if at least one of these holds : \n\t• a is large and a is a person \n\t• b is medium and a is small , then there is an element x such that a is not a person"
433,( ( Large ( a ) ∧ Even ( a ) ) ∧ Medium ( a ) ) ∧ ¬ ∀ x Cube ( x ),"a is large , a is even , a is medium and it is not the case that for all x , x is a cube"
434,∀ x ¬ ∃ x Cube ( x ),"for all x , it is not the case that there is an element x such that x is a cube"
435,∃ x ( ( Cube ( a ) ∧ Dodec ( x ) ) → ( Dodec ( a ) ∧ Pet ( x ) ) ),"there is an element x such that if a is a cube and x is a dodecahedron , then a is a dodecahedron and x is a pet"
436,"Dodec ( a ) → ∀ x ¬ Adjoins ( x , a )","if a is a dodecahedron , then for all x , x is not adjacent to a"
437,"( ∀ x SameShape ( a , x ) ∧ ¬ Small ( a ) ) → ¬ ¬ Adjoins ( b , c )","if for all x , a is of the same shape as x and a is not small , then it is not the case that b is not adjacent to c"
438,∃ x ∃ y ( Cube ( y ) → Cube ( y ) ),"there is an element x such that there is an element y such that if y is a cube , then y is a cube"
439,"( ∃ x FrontOf ( a , a ) → ( Student ( b ) ∧ Dodec ( b ) ) ) ∧ ∃ y ( Large ( y ) ∧ Large ( b ) )","all these hold : \n\t• if there is an element x such that a is in front of itself , then b is a student and b is a dodecahedron \n\t• there is an element y such that y and b are large"
440,"∀ x ( SameShape ( a , a ) → Medium ( x ) ) ∨ ( ∀ x Cube ( x ) ∧ BackOf ( a , b ) )","at least one of these holds : \n\t• for all x , if a is of the same shape as itself , then x is medium \n\t• for all x , x is a cube and a is in back of b"
441,∃ x ( ( Pet ( x ) → Person ( x ) ) ∧ ( Tet ( x ) ∧ Person ( x ) ) ),"there is an element x such that all these hold : \n\t• if x is a pet , then x is a person , x is a tetrahedron \n\t• x is a person"
442,∃ x ∀ x Large ( x ) ∧ ∀ x ¬ Medium ( a ),"there is an element x such that for all x , x is large and for all x , a is not medium"
443,"∀ x ∃ x ¬ SameRow ( x , x )","for all x , there is an element x such that x is not in the same row as x"
444,¬ ∃ x ( Cube ( x ) → Student ( a ) ),"it is not the case that there is an element x such that if x is a cube , then a is a student"
445,"∀ x ( ( Smaller ( a , x ) ∧ Smaller ( x , x ) ) → ∃ y BackOf ( a , a ) )","for all x , if a is smaller than x and x is smaller than itself , then there is an element y such that a is in back of itself"
446,"¬ ¬ ( SameSize ( a , a ) ∧ Medium ( a ) )",it is not the case that it is not the case that a is of the same size as itself and a is medium
447,"Larger ( a , b ) ∨ ( ∃ x Large ( c ) → ∃ x LeftOf ( x , x ) )","at least one of these holds : \n\t• a is larger than b \n\t• if there is an element x such that c is large , then there is an element x such that x is to the left of itself"
448,¬ ¬ Even ( a ) ∨ ( ( Even ( b ) ∧ Small ( a ) ) ∧ ∃ x Prime ( a ) ),"at least one of these holds : \n\t• it is not the case that a is not even \n\t• b is even , a is small and there is an element x such that a is a prime"
449,¬ ∃ x ∀ x Small ( a ),"it is not the case that there is an element x such that for all x , a is small"
450,"∀ x ( ( BackOf ( x , x ) → Cube ( x ) ) → ( Dodec ( x ) ∧ FrontOf ( a , x ) ) )","for all x , if if x is in back of itself , then x is a cube , then x is a dodecahedron and a is in front of x"
451,"¬ ( ∀ x FrontOf ( a , b ) ∧ Large ( c ) )","it is not the case that for all x , a is in front of b and c is large"
452,"( ¬ Small ( a ) → ∃ x Large ( x ) ) ∧ ( ( Large ( b ) ∨ Adjoins ( b , b ) ) ∧ ∃ y Pet ( c ) )","all these hold : \n\t• if a is not small , then there is an element x such that x is large , b is large or b is adjacent to itself \n\t• there is an element y such that c is a pet"
453,¬ ( ∃ x Dodec ( a ) ∨ ∃ y Small ( y ) ),it is not the case that there is an element x such that a is a dodecahedron or there is an element y such that y is small
454,"∃ x ¬ Pet ( x ) ∨ ¬ ∀ y Larger ( y , y )","there is an element x such that x is not a pet or it is not the case that for all y , y is larger than itself"
455,¬ ( ( Medium ( a ) ∨ Even ( a ) ) ∨ ¬ Even ( a ) ),"it is not the case that a is medium , a is even or a is not even"
456,"( ( Larger ( a , b ) → LeftOf ( a , b ) ) ∨ Dodec ( b ) ) ∨ SameSize ( c , c )","at least one of these holds : \n\t• if a is larger than b , then a is to the left of b , b is a dodecahedron \n\t• c is of the same size as itself"
457,"SameCol ( a , a ) → ¬ ∃ x Prime ( a )","if a is in the same column as itself , then it is not the case that there is an element x such that a is a prime"
458,"∀ x ¬ ( SameRow ( a , x ) ∧ SameCol ( a , x ) )","for all x , it is not the case that a is in the same row as x and in the same column as x"
459,"∀ x ( Even ( x ) ∨ SameRow ( a , x ) ) ∨ ¬ ( Small ( b ) → Person ( a ) )","for all x , x is even or a is in the same row as x or it is not the case that if b is small , then a is a person"
460,∃ x ¬ Small ( x ) → ( ∃ x Even ( x ) → ( Tet ( a ) ∧ Prime ( a ) ) ),"if there is an element x such that x is not small , then if there is an element x such that x is even , then a is a tetrahedron and a is a prime"
461,∀ x ( ∀ x Dodec ( x ) ∨ ∃ x Small ( x ) ),"for all x , for all x , x is a dodecahedron or there is an element x such that x is small"
462,"∃ x LeftOf ( x , x )",there is an element x such that x is to the left of itself
463,"RightOf ( a , a ) ∨ ( Pet ( b ) → ¬ BackOf ( b , b ) )","at least one of these holds : \n\t• a is to the right of itself \n\t• if b is a pet , then b is not in back of b"
464,"¬ ¬ ( Prime ( a ) ∨ LeftOf ( a , a ) )",it is not the case that it is not the case that a is a prime or a is to the left of itself
465,∀ x ∀ y ∃ y Large ( y ),"for all x , for all y , there is an element y such that y is large"
466,"¬ Small ( a ) ∨ ∀ x ∀ y FrontOf ( b , b )","a is not small or for all x , for all y , b is in front of itself"
467,"∃ x ∀ y RightOf ( x , x )","there is an element x such that for all y , x is to the right of itself"
468,"¬ ∃ x ¬ RightOf ( a , x )",it is not the case that there is an element x such that a is not to the right of x
469,"∀ x Adjoins ( a , x ) ∨ ¬ ( SameShape ( a , a ) ∧ Large ( a ) )","for all x , a is adjacent to x or it is not the case that a is of the same shape as itself and a is large"
470,"( ¬ BackOf ( a , a ) ∨ ( Medium ( b ) ∨ RightOf ( c , b ) ) ) ∧ ¬ ∃ x SameRow ( x , x )","all these hold : \n\t• a is not in back of a , b is medium or c is to the right of b \n\t• it is not the case that there is an element x such that x is in the same row as itself"
471,"∃ x ( ∃ y SameShape ( y , a ) ∧ ∃ z Medium ( b ) )",there is an element x such that there is an element y such that y is of the same shape as a and there is an element z such that b is medium
472,"∃ x ( ∃ y SameSize ( a , a ) ∧ ∃ x Small ( a ) )",there is an element x such that there is an element y such that a is of the same size as itself and there is an element x such that a is small
473,¬ ( Even ( a ) ∨ ( Cube ( b ) → Large ( c ) ) ),"it is not the case that at least one of these holds : \n\t• a is even \n\t• if b is a cube , then c is large"
474,¬ ( ∀ x Prime ( a ) ∨ ∃ y Even ( y ) ),"it is not the case that for all x , a is a prime or there is an element y such that y is even"
475,( ( Tet ( a ) ∨ Even ( a ) ) ∧ ¬ Small ( a ) ) ∨ Student ( b ),all these hold : \n\t• a is a tetrahedron or a is even \n\t• a is not small or b is a student
476,"∀ x ∀ x Tet ( a ) ∧ ∃ y ∃ z Adjoins ( z , a )","for all x , for all x , a is a tetrahedron and there is an element y such that there is an element z such that z is adjacent to a"
477,"¬ ( ( Prime ( a ) ∨ Pet ( b ) ) ∧ SameCol ( a , b ) )",it is not the case that all these hold : \n\t• a is a prime or b is a pet \n\t• a is in the same column as b
478,"∃ x ∀ x ( Large ( a ) ∧ Larger ( x , x ) )","there is an element x such that for all x , a is large and x is larger than itself"
479,"¬ ( Larger ( a , b ) ∧ Student ( b ) ) → Pet ( c )","if it is not the case that a is larger than b and b is a student , then c is a pet"
480,"¬ ( FrontOf ( a , a ) ∧ Person ( a ) ) ∨ ∀ x ∃ y Medium ( y )","it is not the case that a is in front of itself and a is a person or for all x , there is an element y such that y is medium"
481,∀ x ∀ y Even ( x ) → ( ∃ y Small ( y ) → ( Tet ( a ) ∧ Medium ( b ) ) ),"if for all x , for all y , x is even , then if there is an element y such that y is small , then a is a tetrahedron and b is medium"
482,¬ ( Pet ( a ) ∧ Pet ( b ) ) → ( ∀ x Student ( c ) ∧ ∀ x Even ( d ) ),"if it is not the case that a is a pet and b is a pet , then for all x , c is a student and for all x , d is even"
483,"∀ x ( Medium ( a ) → LeftOf ( b , b ) ) ∧ ¬ ( Medium ( c ) ∧ Small ( a ) )","for all x , if a is medium , then b is to the left of itself and it is not the case that c is medium and a is small"
484,"¬ ( Pet ( a ) ∨ Even ( a ) ) ∨ ( ( RightOf ( b , a ) ∨ Pet ( a ) ) ∨ Dodec ( c ) )","it is not the case that a is a pet or a is even , b is to the right of a , a is a pet or c is a dodecahedron"
485,"¬ ∀ x Larger ( x , a )","it is not the case that for all x , x is larger than a"
486,( ∀ x Person ( x ) ∨ ( Small ( a ) ∧ Pet ( b ) ) ) ∧ ∃ x ∃ x Medium ( a ),"at least one of these holds : \n\t• for all x , x is a person \n\t• a is small and b is a pet and there is an element x such that there is an element x such that a is medium"
487,"¬ ∃ x FrontOf ( x , a ) ∧ ( ∀ x Even ( a ) ∧ ¬ Even ( b ) )","it is not the case that there is an element x such that x is in front of a , for all x , a is even and b is not even"
488,∀ x ( Medium ( a ) ∧ Medium ( a ) ) ∨ Dodec ( a ),"for all x , a is medium and medium or a is a dodecahedron"
489,∀ x ∃ x ( Tet ( a ) ∧ Small ( x ) ),"for all x , there is an element x such that a is a tetrahedron and x is small"
490,"¬ ( ( FrontOf ( a , b ) ∧ Medium ( c ) ) ∨ ∃ x SameRow ( x , a ) )",it is not the case that at least one of these holds : \n\t• a is in front of b and c is medium \n\t• there is an element x such that x is in the same row as a
491,"¬ ∀ x Large ( a ) ∨ ∀ x ∃ x SameCol ( x , b )","it is not the case that for all x , a is large or for all x , there is an element x such that x is in the same column as b"
492,"∃ x ( ( RightOf ( a , x ) ∨ Tet ( x ) ) ∧ ∃ x Pet ( b ) )",there is an element x such that all these hold : \n\t• a is to the right of x or x is a tetrahedron \n\t• there is an element x such that b is a pet
493,Prime ( a ) ∨ ( Large ( a ) ∨ ∃ x Medium ( x ) ),"a is a prime , a is large or there is an element x such that x is medium"
494,"∃ x ( ∃ y Even ( y ) ∧ ∃ x RightOf ( x , a ) )",there is an element x such that there is an element y such that y is even and there is an element x such that x is to the right of a
495,( ¬ Large ( a ) → ∀ x Even ( a ) ) ∨ ( ( Pet ( b ) → Person ( b ) ) ∧ ( Tet ( c ) ∨ Even ( a ) ) ),"at least one of these holds : \n\t• if a is not large , then for all x , a is even \n\t• all these hold : \n\t• if b is a pet , then b is a person \n\t• c is a tetrahedron or a is even"
496,"∃ x ( ( Small ( x ) → SameCol ( x , a ) ) ∧ Student ( b ) )","there is an element x such that all these hold : \n\t• if x is small , then x is in the same column as a \n\t• b is a student"
497,( ¬ Medium ( a ) → ∀ x Prime ( a ) ) ∧ ∃ x Even ( a ),"all these hold : \n\t• if a is not medium , then for all x , a is a prime \n\t• there is an element x such that a is even"
